Jahr,1_Merkmal_Code,1_Auspraegung_Label,2_Auspraegung_Label,3_Merkmal_Code,3_Merkmal_Label,3_Auspraegung_Code,3_Auspraegung_Label,birth
1998,DLAND,Hessen,August,GES,Geschlecht,,Insgesamt,5374
1998,DLAND,Hessen,September,GES,Geschlecht,,Insgesamt,5444
1998,DLAND,Hessen,Oktober,GES,Geschlecht,,Insgesamt,4865
1998,DLAND,Hessen,November,GES,Geschlecht,,Insgesamt,4588
1998,DLAND,Hessen,Dezember,GES,Geschlecht,,Insgesamt,4652
1998,DLAND,Mecklenburg-Vorpommern,Januar,GES,Geschlecht,,Insgesamt,995
1998,DLAND,Mecklenburg-Vorpommern,Februar,GES,Geschlecht,,Insgesamt,959
1998,DLAND,Mecklenburg-Vorpommern,Maerz,GES,Geschlecht,,Insgesamt,1017
1998,DLAND,Mecklenburg-Vorpommern,April,GES,Geschlecht,,Insgesamt,1069
1998,DLAND,Mecklenburg-Vorpommern,Mai,GES,Geschlecht,,Insgesamt,999
1998,DLAND,Mecklenburg-Vorpommern,Juni,GES,Geschlecht,,Insgesamt,974
1998,DLAND,Mecklenburg-Vorpommern,Juli,GES,Geschlecht,,Insgesamt,1181
1998,DLAND,Mecklenburg-Vorpommern,August,GES,Geschlecht,,Insgesamt,1133
1998,DLAND,Mecklenburg-Vorpommern,September,GES,Geschlecht,,Insgesamt,1075
1998,DLAND,Mecklenburg-Vorpommern,Oktober,GES,Geschlecht,,Insgesamt,959
1998,DLAND,Mecklenburg-Vorpommern,November,GES,Geschlecht,,Insgesamt,931
1998,DLAND,Mecklenburg-Vorpommern,Dezember,GES,Geschlecht,,Insgesamt,954
1998,DLAND,Niedersachsen,Januar,GES,Geschlecht,,Insgesamt,6920
1998,DLAND,Niedersachsen,Februar,GES,Geschlecht,,Insgesamt,6333
1998,DLAND,Niedersachsen,Maerz,GES,Geschlecht,,Insgesamt,6933
1998,DLAND,Niedersachsen,April,GES,Geschlecht,,Insgesamt,6830
1998,DLAND,Niedersachsen,Mai,GES,Geschlecht,,Insgesamt,6523
1998,DLAND,Niedersachsen,Juni,GES,Geschlecht,,Insgesamt,6758
1998,DLAND,Niedersachsen,Juli,GES,Geschlecht,,Insgesamt,7606
1998,DLAND,Niedersachsen,August,GES,Geschlecht,,Insgesamt,7366
1998,DLAND,Niedersachsen,September,GES,Geschlecht,,Insgesamt,7275
1998,DLAND,Niedersachsen,Oktober,GES,Geschlecht,,Insgesamt,6853
1998,DLAND,Niedersachsen,November,GES,Geschlecht,,Insgesamt,6298
1998,DLAND,Niedersachsen,Dezember,GES,Geschlecht,,Insgesamt,6512
1998,DLAND,Nordrhein-Westfalen,Januar,GES,Geschlecht,,Insgesamt,15684
1998,DLAND,Nordrhein-Westfalen,Februar,GES,Geschlecht,,Insgesamt,14368
1998,DLAND,Nordrhein-Westfalen,Maerz,GES,Geschlecht,,Insgesamt,15167
1998,DLAND,Nordrhein-Westfalen,April,GES,Geschlecht,,Insgesamt,14998
1998,DLAND,Nordrhein-Westfalen,Mai,GES,Geschlecht,,Insgesamt,14806
1998,DLAND,Nordrhein-Westfalen,Juni,GES,Geschlecht,,Insgesamt,14761
1998,DLAND,Nordrhein-Westfalen,Juli,GES,Geschlecht,,Insgesamt,16638
1998,DLAND,Nordrhein-Westfalen,August,GES,Geschlecht,,Insgesamt,15960
1998,DLAND,Nordrhein-Westfalen,September,GES,Geschlecht,,Insgesamt,16287
1998,DLAND,Nordrhein-Westfalen,Oktober,GES,Geschlecht,,Insgesamt,14993
1998,DLAND,Nordrhein-Westfalen,November,GES,Geschlecht,,Insgesamt,14329
1998,DLAND,Nordrhein-Westfalen,Dezember,GES,Geschlecht,,Insgesamt,14296
1998,DLAND,Rheinland-Pfalz,Januar,GES,Geschlecht,,Insgesamt,3517
1998,DLAND,Rheinland-Pfalz,Februar,GES,Geschlecht,,Insgesamt,3133
1998,DLAND,Rheinland-Pfalz,Maerz,GES,Geschlecht,,Insgesamt,3211
1998,DLAND,Rheinland-Pfalz,April,GES,Geschlecht,,Insgesamt,3219
1998,DLAND,Rheinland-Pfalz,Mai,GES,Geschlecht,,Insgesamt,3243
1998,DLAND,Rheinland-Pfalz,Juni,GES,Geschlecht,,Insgesamt,3082
1998,DLAND,Rheinland-Pfalz,Juli,GES,Geschlecht,,Insgesamt,3608
1998,DLAND,Rheinland-Pfalz,August,GES,Geschlecht,,Insgesamt,3536
1998,DLAND,Rheinland-Pfalz,September,GES,Geschlecht,,Insgesamt,3628
1998,DLAND,Rheinland-Pfalz,Oktober,GES,Geschlecht,,Insgesamt,3214
1998,DLAND,Rheinland-Pfalz,November,GES,Geschlecht,,Insgesamt,3066
1998,DLAND,Rheinland-Pfalz,Dezember,GES,Geschlecht,,Insgesamt,3182
1998,DLAND,Saarland,Januar,GES,Geschlecht,,Insgesamt,780
1998,DLAND,Saarland,Februar,GES,Geschlecht,,Insgesamt,687
1998,DLAND,Saarland,Maerz,GES,Geschlecht,,Insgesamt,759
1998,DLAND,Saarland,April,GES,Geschlecht,,Insgesamt,743
1998,DLAND,Saarland,Mai,GES,Geschlecht,,Insgesamt,775
1998,DLAND,Saarland,Juni,GES,Geschlecht,,Insgesamt,742
1998,DLAND,Saarland,Juli,GES,Geschlecht,,Insgesamt,769
1998,DLAND,Saarland,August,GES,Geschlecht,,Insgesamt,771
1998,DLAND,Saarland,September,GES,Geschlecht,,Insgesamt,824
1998,DLAND,Saarland,Oktober,GES,Geschlecht,,Insgesamt,775
1998,DLAND,Saarland,November,GES,Geschlecht,,Insgesamt,741
1998,DLAND,Saarland,Dezember,GES,Geschlecht,,Insgesamt,745
1998,DLAND,Sachsen,Januar,GES,Geschlecht,,Insgesamt,2376
1998,DLAND,Sachsen,Februar,GES,Geschlecht,,Insgesamt,2339
1998,DLAND,Sachsen,Maerz,GES,Geschlecht,,Insgesamt,2553
1998,DLAND,Sachsen,April,GES,Geschlecht,,Insgesamt,2388
1998,DLAND,Sachsen,Mai,GES,Geschlecht,,Insgesamt,2486
1998,DLAND,Sachsen,Juni,GES,Geschlecht,,Insgesamt,2487
1998,DLAND,Sachsen,Juli,GES,Geschlecht,,Insgesamt,2803
1998,DLAND,Sachsen,August,GES,Geschlecht,,Insgesamt,2771
1998,DLAND,Sachsen,September,GES,Geschlecht,,Insgesamt,2734
1998,DLAND,Sachsen,Oktober,GES,Geschlecht,,Insgesamt,2523
1998,DLAND,Sachsen,November,GES,Geschlecht,,Insgesamt,2389
1998,DLAND,Sachsen,Dezember,GES,Geschlecht,,Insgesamt,2341
1998,DLAND,Sachsen-Anhalt,Januar,GES,Geschlecht,,Insgesamt,1448
1998,DLAND,Sachsen-Anhalt,Februar,GES,Geschlecht,,Insgesamt,1326
1998,DLAND,Sachsen-Anhalt,Maerz,GES,Geschlecht,,Insgesamt,1411
1998,DLAND,Sachsen-Anhalt,April,GES,Geschlecht,,Insgesamt,1371
1998,DLAND,Sachsen-Anhalt,Mai,GES,Geschlecht,,Insgesamt,1348
1998,DLAND,Sachsen-Anhalt,Juni,GES,Geschlecht,,Insgesamt,1398
